,byline,critics_pick,date_updated,display_title,headline,link.suggested_link_text,link.type,link.url,mpaa_rating,multimedia,multimedia.height,multimedia.src,multimedia.type,multimedia.width,opening_date,publication_date,summary_short
13,MIKE HALE,0,2017-11-02 04:18:11,Tyler Perry's Why Did I Get Married Too?,"At Couples’ Reunion, Laughs, Then Grief",Read the New York Times Review of Tyler Perry's Why Did I Get Married Too?,article,http://www.nytimes.com/2010/04/03/movies/03tyler.html,PG-13,,,,,,2010-04-02,2010-04-02,"Janet Jackson, Jill Scott and Malik Yoba star in this sequel to Mr. Perry’s 2007 film about four married couples."
14,MIKE HALE,0,2017-11-02 04:18:11,The Thorn in the Heart,"Memories of a Family, With a Few Detours",Read the New York Times Review of The Thorn in the Heart,article,http://www.nytimes.com/2010/04/02/movies/02thorn.html,,,,,,,2010-04-02,2010-04-01,A family memoir is told without the filmmaker’s usual embroidery.
15,MANOHLA DARGIS,0,2017-11-02 04:18:11,Clash of the Titans,Beware of Greeks Bearing Buzz Cuts,Read the New York Times Review of Clash of the Titans,article,http://www.nytimes.com/2010/04/02/movies/02clash.html,,,,,,,2010-04-02,2010-04-01,"A remake of a 1981 film features swords, sandals and monsters, this time around in 3-D."
16,A. O. SCOTT,0,2017-11-02 04:18:11,The Last Song,"Summer Love, a Sea of Trouble",Read the New York Times Review of The Last Song,article,http://www.nytimes.com/2010/03/31/movies/31last.html,PG,,,,,,2010-03-31,2010-03-30,A recent high school graduate named Ronnie arrives at her father’s house on the Georgia coast and finds romance with a beach volleyball player.
17,A. O. SCOTT,1,2017-11-02 04:18:11,Hot Tub Time Machine,"Times May Change, but Regret Endures",Read the New York Times Review of Hot Tub Time Machine,article,http://www.nytimes.com/2010/03/26/movies/26hottub.html,R,,,,,,2010-03-26,2010-03-25,"In “Hot Tub Time Machine,” three guys revisit the ’80s. Nostalgia naturally ensues."
18,MIKE HALE,0,2017-11-02 04:18:11,Lbs.,About Obesity,Read the New York Times Review of Lbs.,article,http://www.nytimes.com/2010/03/26/movies/26lbs.html,,,,,,,2010-03-26,2010-03-25,"For a movie about a man who doesn’t let any food go to waste, “Lbs.” has spent an awfully long time on the shelf."
19,A. O. SCOTT,0,2017-11-02 04:18:11,How to Train Your Dragon,No Slaying Required: A Viking Aids an Enemy and Wins a Friend,Read the New York Times Review of How to Train Your Dragon,article,http://www.nytimes.com/2010/03/26/movies/26howto.html,PG,,,,,,2010-03-26,2010-03-25,A young man betrays his warlike tribe and learns to love the enemy.
0,A. O. SCOTT,0,2017-11-02 04:18:11,Chloe,Love Triangle Devised by a Wary Wife,Read the New York Times Review of Chloe,article,http://www.nytimes.com/2010/03/26/movies/26chloe.html,R,,,,,,2010-03-26,2010-03-25,A prostitute stirs up chaos in the life of a married couple.
1,MIKE HALE,1,2017-11-02 04:18:11,Neil Young Trunk Show: Scenes From a Concert,A Return to Neil Young’s Stage,Read the New York Times Review of Neil Young Trunk Show: Scenes From a Concert,article,http://www.nytimes.com/2010/03/19/movies/19young.html,,,,,,,2010-03-19,2010-03-18,"Beautifully lighted and meticulously recorded, “Neil Young Trunk Show” looks and sounds like several million bucks."
2,A. O. SCOTT,1,2017-11-02 04:18:11,Greenberg,Why Even Bother Trying to Connect?,Read the New York Times Review of Greenberg,article,http://www.nytimes.com/2010/03/19/movies/19greenberg.html,R,,,,,,2010-03-26,2010-03-18,"“Greenberg” is the funniest and saddest movie Noah Baumbach has made so far, and also the riskiest."
3,A. O. SCOTT,0,2017-11-02 04:18:11,The Runaways,Proving Their Mettle in the Men-Only Era of Rock,Read the New York Times Review of The Runaways,article,http://www.nytimes.com/2010/03/19/movies/19runaways.html,R,,,,,,2010-03-19,2010-03-18,"“The Runaways” evokes its moment and milieu with affectionate, almost uncanny fidelity."
4,STEPHEN HOLDEN,0,2017-11-02 04:18:11,Repo Men,A Hands-On Approach to Health Care Reform,Read the New York Times Review of Repo Men,article,http://www.nytimes.com/2010/03/19/movies/19repomen.html,R,,,,,,2010-03-19,2010-03-18,"To audiences starved for quasi-medical gore, the gruesome “Repo Men” should help fill the void left by “Nip/Tuck.”"
5,NEIL GENZLINGER,0,2017-11-02 04:18:11,Hubble 3D,The Universe Up There,Read the New York Times Review of Hubble 3D,article,http://www.nytimes.com/2010/03/19/movies/19hubble.html,G,,,,,,2010-03-19,2010-03-18,"“Hubble 3D” is dazzling to look at of course. But such ponderous, cliché-heavy narration."
6,MANOHLA DARGIS,0,2017-11-02 04:18:11,The Girl with the Dragon Tattoo,Hacker With Ink on Back and Big Chip on Shoulder,Read the New York Times Review of The Girl with the Dragon Tattoo,article,http://www.nytimes.com/2010/03/19/movies/19girl.html,R,,,,,,2010-04-30,2010-03-18,"In “The Girl With the Dragon Tattoo,” Noomi Rapace more or less looks the part that the filmmakers don’t let her fully play."
7,A. O. SCOTT,0,2017-11-02 04:18:11,Diary of a Wimpy Kid,Lost in Social Minefields Without a Proper Clue,Read the New York Times Review of Diary of a Wimpy Kid,article,http://www.nytimes.com/2010/03/19/movies/19diary.html,PG,,,,,,2010-03-19,2010-03-18,"In “Diary of a Wimpy Kid,” episodes that might be howlingly funny on the page turn weirdly gross and sadistic on screen."
8,JEANNETTE CATSOULIS,0,2017-11-02 04:18:11,City Island,"A Bronx Tale, With Bait",Read the New York Times Review of City Island,article,http://www.nytimes.com/2010/03/19/movies/19cityisland.html,PG-13,,,,,,2010-04-30,2010-03-18,“City Island” is a professionally executed farce of the yelling-family variety.
9,A. O. SCOTT,0,2017-11-02 04:18:11,The Bounty Hunter,"In a Battle of the Exes, the Punches Are Pulled",Read the New York Times Review of The Bounty Hunter,article,http://www.nytimes.com/2010/03/19/movies/19bounty.html,PG-13,,,,,,2010-03-19,2010-03-18,"“The Bounty Hunter” is the latest evidence that, when it comes to romantic combat, we live in a more thoughtlessly brutal age than our ancestors did."
10,A. O. SCOTT,1,2017-11-02 04:18:11,Green Zone,"A Search for That Casualty, Truth",Read the New York Times Review of Green Zone,article,http://www.nytimes.com/2010/03/12/movies/12green.html,R,,,,,,2010-03-12,2010-03-11,"In “Green Zone,” action under pressure is a test and a revelation of character."
11,MIKE HALE,0,2017-11-02 04:18:11,She's Out of My League,Playing the Odds of Love,Read the New York Times Review of She's Out of My League,article,http://www.nytimes.com/2010/03/12/movies/12shesout.html,R,,,,,,2010-03-12,2010-03-11,Schlubby nice guy meets pneumatic blonde in “She’s Out of My League.”
12,STEPHEN HOLDEN,0,2017-11-02 04:18:11,Severe Clear,A Marine Searches for Meaning in the Sands and ‘Steel Rain’ of Iraq,Read the New York Times Review of Severe Clear,article,http://www.nytimes.com/2010/03/12/movies/12severe.html,,,,,,,2010-03-12,2010-03-11,“Severe Clear” puts you in the boots of a Marine fighting in Iraq in 2003.
13,MANOHLA DARGIS,0,2017-11-02 04:18:11,Remember Me,"A Rebel, Brooding and Smoking His Way Out of Bourgeois Normalcy",Read the New York Times Review of Remember Me,article,http://www.nytimes.com/2010/03/12/movies/12remember.html,PG-13,,,,,,2010-03-12,2010-03-11,"In “Remember Me” love means never having to say you’re sorry, particularly to the audience."
14,JEANNETTE CATSOULIS,0,2017-11-02 04:18:11,Our Family Wedding,Walking Down the Comedic Aisle,Read the New York Times Review of Our Family Wedding,article,http://www.nytimes.com/2010/03/12/movies/12ourfamily.html,PG-13,,,,,,2010-03-12,2010-03-11,"“Our Family Wedding” offers plenty that’s old, borrowed and blue; it’s the something new that’s missing."
15,JEANNETTE CATSOULIS,0,2017-11-02 04:18:11,Delta,Trouble in the Village,Read the New York Times Review of Delta,article,http://www.nytimes.com/2010/03/12/movies/12delta.html,,,,,,,2010-03-12,2010-03-11,"When the liveliest character in a movie is the heroine’s pet turtle, you know you’re in for some seriously stately filmmaking."
16,A. O. SCOTT,0,2017-11-02 04:18:11,Brooklyn's Finest,When Troubled Cops Cross the Thin Blue Line,Read the New York Times Review of Brooklyn's Finest,article,http://www.nytimes.com/2010/03/05/movies/05brooklyn.html,R,,,,,,2010-03-05,2010-03-04,"“Brooklyn’s Finest” burrows deep into the collective memory of generations of meaty, emotional movies about New York City cops in trouble."
17,MANOHLA DARGIS,0,2017-11-02 04:18:11,Alice in Wonderland,What’s a Nice Girl Doing in This Hole?,Read the New York Times Review of Alice in Wonderland,article,http://www.nytimes.com/2010/03/05/movies/05alice.html,PG,,,,,,2010-03-05,2010-03-04,"Tim Burton’s “Alice in Wonderland” is busy, garish and periodically amusing."
18,A. O. SCOTT,1,2017-11-02 04:18:11,Toe to Toe,"On a High School Lacrosse Team, Opposites Attract and Attack",Read the New York Times Review of Toe to Toe,article,http://www.nytimes.com/2010/02/26/movies/26toe.html,,,,,,,2010-02-26,2010-02-25,"The film’s observations about race, class and friendship are clear and accessible without being overly didactic."
19,MANOHLA DARGIS,1,2017-11-02 04:18:11,A Prophet,"Learning to Read, Murder, Survive",Read the New York Times Review of A Prophet,article,http://www.nytimes.com/2010/02/26/movies/26prophet.html,R,,,,,,2010-03-26,2010-02-25,“A Prophet” is one of those rare films in which the moral stakes are as insistent and thought through as the aesthetic choices.
0,STEPHEN HOLDEN,0,2017-11-02 04:18:11,Formosa Betrayed,When the Language of Diplomacy Includes ‘Kapow!’,Read the New York Times Review of Formosa Betrayed,article,http://www.nytimes.com/2010/02/26/movies/26formosa.html,R,,,,,,2010-02-26,2010-02-25,“Formosa Betrayed” addresses one of the trickiest balancing acts in global politics.
1,MIKE HALE,0,2017-11-02 04:18:11,The Crazies,A Horror Show,Read the New York Times Review of The Crazies,article,http://www.nytimes.com/2010/02/26/movies/26crazies.html,R,,,,,,2010-02-26,2010-02-25,The problem with “The Crazies?” Not crazy enough.
2,A. O. SCOTT,0,2017-11-02 04:18:11,Cop Out,"The Buddy-Police Recipe: Take Guns, Add Some Wisecracking, Stir",Read the New York Times Review of Cop Out,article,http://www.nytimes.com/2010/02/26/movies/26copout.html,R,,,,,,2010-02-26,2010-02-25,"From time to time, “Cop Out” offers glimpses of the giddy, goofy delight it might have been."
3,STEPHEN HOLDEN,1,2017-11-02 04:18:11,The Good Guy,Sex and Money and High Rollers (Memories Were Made of This),Read the New York Times Review of The Good Guy,article,http://www.nytimes.com/2010/02/19/movies/19good.html,R,,,,,,2010-02-19,2010-02-18,“The Good Guy” is fresh enough to provide the voyeuristic kick of glimpsing the frenzied lifestyle of aspiring masters of the universe.
4,MANOHLA DARGIS,1,2017-11-02 04:18:11,The Ghost Writer,Writer for Hire Is a Wanted Man,Read the New York Times Review of The Ghost Writer,article,http://www.nytimes.com/2010/02/19/movies/19ghost.html,PG-13,,,,,,2010-03-19,2010-02-18,"With “The Ghost Writer,” Roman Polanski creates a wholly believable world rich in strange contradictions and ominous implications."
5,STEPHEN HOLDEN,0,2017-11-02 04:18:11,The Last New Yorker,"In an Ever-Changing New York, Falling in Love May Be the Only Constant",Read the New York Times Review of The Last New Yorker,article,http://www.nytimes.com/2010/02/19/movies/19last.html,,,,,,,2010-02-19,2010-02-18,The best thing about “The Last New Yorker” is its evocation of the relentless speed with which the city tears down and rebuilds itself.
6,A. O. SCOTT,0,2017-11-02 04:18:11,Shutter Island,"All at Sea, Surrounded by Red Herrings",Read the New York Times Review of Shutter Island,article,http://www.nytimes.com/2010/02/19/movies/19shutter.html,R,,,,,,2010-02-19,2010-02-18,"Martin Scorsese’s camera sense fills every scene with creepiness, but sustained suspense seems beyond him."
7,JEANNETTE CATSOULIS,0,2017-11-02 04:18:11,Phyllis and Harold,Documenting a Quarrelsome Marriage,Read the New York Times Review of Phyllis and Harold,article,http://www.nytimes.com/2010/02/19/movies/19phyllis.html,,,,,,,2010-02-19,2010-02-18,“Phyllis and Harold” is an impossibly self-involved portrait of a union far more commonplace than its offspring seem to believe.
8,MANOHLA DARGIS,0,2017-11-02 04:18:11,Lourdes,Mysteries and Hopes Converge on a Shrine,Read the New York Times Review of Lourdes,article,http://www.nytimes.com/2010/02/17/movies/17lourdes.html,,,,,,,2010-02-17,2010-02-16,One of the pleasures of “Lourdes” is that it takes place in the space between the inexplicable (no explanation is possible) and the unexplained.
9,RACHEL SALTZ,0,2017-11-02 04:18:11,My Name is Khan,"A Hero Begins His Quest, and Then the Trouble Starts",Read the New York Times Review of My Name is Khan,article,http://www.nytimes.com/2010/02/13/movies/13name.html,PG-13,,,,,,2010-02-12,2010-02-12,“My Name Is Khan” is an effective exercise in Bollywood high emotionalism.
10,JEANNETTE CATSOULIS,0,2017-11-02 04:18:10,Tano da Morire,The Mobsters of Palermo,Read the New York Times Review of Tano da Morire,article,http://www.nytimes.com/2010/02/12/movies/12todie.html,,,,,,,2010-02-12,2010-02-11,“To Die for Tano” is a bizarre musical comedy in which the actual severed swordfish heads are not the ugliest things on screen.
11,A. O. SCOTT,0,2017-11-02 04:18:10,The Wolfman,It’s Hard to Be Refined as You Howl at the Moon,Read the New York Times Review of The Wolfman,article,http://www.nytimes.com/2010/02/12/movies/12wolfman.html,R,,,,,,2010-02-12,2010-02-11,"The title character in “The Wolfman” suffers from a vexing identity crisis, and so does the movie."
12,MANOHLA DARGIS,0,2017-11-02 04:18:11,Valentine's Day,"A Whole Lotta Interconnected Love, and a Whole Lotta Movie Stars",Read the New York Times Review of Valentine's Day,article,http://www.nytimes.com/2010/02/12/movies/12valentine.html,PG-13,,,,,,2010-02-12,2010-02-11,The dire romantic comedy “Valentine’s Day” is neither romantic nor remotely comedic.
13,STEPHEN HOLDEN,0,2017-11-02 04:18:11,Percy Jackson and the Olympians: The Lightning Thief,Another Teenage Woe: The Hounds of Hades,Read the New York Times Review of Percy Jackson and the Olympians: The Lightning Thief,article,http://www.nytimes.com/2010/02/12/movies/12percy.html,PG,,,,,,2010-02-12,2010-02-11,"In “Percy Jackson and the Olympians: The Lightning Thief,” virginal teenagers do battle with fire-belching monsters."
14,STEPHEN HOLDEN,0,2017-11-02 04:18:10,From Paris With Love,Americans Spark the Gunfire in the City of Light,Read the New York Times Review of From Paris With Love,article,http://www.nytimes.com/2010/02/05/movies/05from.html,R,,,,,,2010-02-05,2010-02-04,"“From Paris With Love,” starring John Travolta and Jonathan Rhys Meyers, is really a one-sided buddy movie."
15,MIKE HALE,0,2017-11-02 04:18:10,Falling Awake,A Latino Bronx Tale,Read the New York Times Review of Falling Awake,article,http://www.nytimes.com/2010/02/05/movies/05falling.html,R,,,,,,2010-01-29,2010-02-04,“Falling Awake” puts good intentions and appealing performances into the balance against clichés of dead-end neighborhoods and rebellious youth.
16,A. O. SCOTT,0,2017-11-02 04:18:10,Dear John,Young Love Caught in the Grips of 9/11,Read the New York Times Review of Dear John,article,http://www.nytimes.com/2010/02/05/movies/05dear.html,PG-13,,,,,,2010-02-05,2010-02-04,"“Dear John” may not be strong medicine, but it delivers an effective, pleasing dose of pure sentiment and vicarious heartache."
17,A. O. SCOTT,0,2017-11-02 04:18:10,When in Rome,Coins and a Fountain That Make a Magic Mess,Read the New York Times Review of When in Rome,article,http://www.nytimes.com/2010/01/29/movies/29when.html,PG-13,,,,,,2010-01-29,2010-01-28,“When in Rome” fails to produce anything much in the way of worthwhile complication.
18,JEANNETTE CATSOULIS,0,2017-11-02 04:18:10,For My Father,Tale of a Terrorist,Read the New York Times Review of For My Father,article,http://www.nytimes.com/2010/01/29/movies/29father.html,,,,,,,2010-01-29,2010-01-28,A Palestinian terrorist and an Israeli outcast lock fates in “For My Father.”
19,A. O. SCOTT,0,2017-11-02 04:18:10,Edge of Darkness,Jaw-Breaking Boston Detective Unravels His Daughter’s Murder,Read the New York Times Review of Edge of Darkness,article,http://www.nytimes.com/2010/01/29/movies/29edge.html,R,,,,,,2010-01-29,2010-01-28,Mel Gibson tries a return to movie-star form in “Edge of Darkness.”
0,MIKE HALE,0,2017-11-02 04:18:10,Still Bill,A Singer Who Stopped His Showing Off,Read the New York Times Review of Still Bill,article,http://www.nytimes.com/2010/01/27/movies/27still.html,,,,,,,2010-01-27,2010-01-26,"Much of the biographical documentary “Still Bill,” about the singer Bill Withers, is pleasant and even moving."
1,MIKE HALE,0,2017-11-02 04:18:10,Legion,"Diner Serves Apocalypse, Easy on the Destruction",Read the New York Times Review of Legion,article,http://www.nytimes.com/2010/01/23/movies/23legion.html,R,,,,,,2010-01-22,2010-01-22,In “Legion” the world ends not with a bang but with a short stack.
2,ANDY WEBSTER,0,2017-11-02 04:18:10,To Save a Life,An Athlete in Search of Redemption,Read the New York Times Review of To Save a Life,article,http://www.nytimes.com/2010/01/22/movies/22tosave.html,PG-13,,,,,,2010-01-22,2010-01-21,“To Save a Life” would be a mere nuisance if not for its shameless exploitation of school shootings to advance its agenda.
3,STEPHEN HOLDEN,0,2017-11-02 04:18:10,Tooth Fairy,Nonbelievers Must Wear Tutus,Read the New York Times Review of Tooth Fairy,article,http://www.nytimes.com/2010/01/22/movies/22tooth.html,PG,,,,,,2010-01-22,2010-01-21,"In “Tooth Fairy,” Dwayne Johnson, a k a the Rock, shows once again that he has no real acting talent."
4,STEPHEN HOLDEN,0,2017-11-02 04:18:10,The Paranoids,Rooting for Lovable Loser in a Furry Purple Suit,Read the New York Times Review of The Paranoids,article,http://www.nytimes.com/2010/01/22/movies/22paranoids.html,Not Rated,,,,,,2010-01-22,2010-01-21,“The Paranoids” plays like a dawdling sitcom that strings together small incidents into not very much.
5,JEANNETTE CATSOULIS,0,2017-11-02 04:18:10,Misconceptions,Portrait of a Gay Childless Couple,Read the New York Times Review of Misconceptions,article,http://www.nytimes.com/2010/01/22/movies/22misc.html,,,,,,,2010-01-22,2010-01-21,"In the breeding dramedy “Misconceptions,” a childless gay couple enters into a holy alliance with a fertile Christian wife."
6,A. O. SCOTT,0,2017-11-02 04:18:10,Extraordinary Measures,Desperate Father’s Plea to a Detached Scientist,Read the New York Times Review of Extraordinary Measures,article,http://www.nytimes.com/2010/01/22/movies/22extraordinary.html,PG,,,,,,2010-01-22,2010-01-21,"“Extraordinary Measures,” the first feature released by CBS Films, rises above some of its made-for-TV trappings."
7,JEANNETTE CATSOULIS,1,2017-11-02 04:18:10,The Shaft,Mining Frail Aspirations in Rural China,Read the New York Times Review of The Shaft,article,http://www.nytimes.com/2010/01/21/movies/21shaft.html,,,,,,,2010-01-22,2010-01-20,"The first feature from the young Chinese director Zhang Chi, “The Shaft” (“Dixia de Tiankong”) feels as though it were made by a very old soul."
8,STEPHEN HOLDEN,1,2017-11-02 04:18:10,A Room and a Half,"Poet in Exile, Still Gripping His Memories",Read the New York Times Review of A Room and a Half,article,http://www.nytimes.com/2010/01/20/movies/20room.html,,,,,,,2010-01-20,2010-01-19,"“A Room and a Half” is a rich, heady fictionalized biography of the exiled Russian poet Joseph Brodsky."
9,A. O. SCOTT,0,2017-11-02 04:18:10,The Spy Next Door,International Espionage? Kids Are Much Harder,Read the New York Times Review of The Spy Next Door,article,http://www.nytimes.com/2010/01/15/movies/15spy.html,PG,,,,,,2010-01-15,2010-01-14,“The Spy Next Door” is a good-humored flurry of blown stunts and botched lines.
10,MANOHLA DARGIS,0,2017-11-02 04:18:09,Mine,Four-Legged Survivors of Hurricane Katrina,Read the New York Times Review of Mine,article,http://www.nytimes.com/2010/01/15/movies/15mine.html,,,,,,,2009-03-01,2010-01-14,"One from the heart, the documentary “Mine” relates yet one more wrenching, infuriating story about Hurricane Katrina."
11,MANOHLA DARGIS,0,2017-11-02 04:18:10,The Book of Eli,"In This World, It Pays to Be a Loner",Read the New York Times Review of The Book of Eli,article,http://www.nytimes.com/2010/01/15/movies/15eli.html,R,,,,,,2010-01-15,2010-01-14,"With “The Book of Eli,” Allen and Albert Hughes have created a plausible post-apocalyptic world."
12,STEPHEN HOLDEN,0,2017-11-02 04:18:10,Carmel,"For Israelis Now, Echoes of Strife Then",Read the New York Times Review of Carmel,article,http://www.nytimes.com/2010/01/13/movies/13carmel.html,,,,,,,2010-01-13,2010-01-12,"Personal reminiscence and Israeli history are woven into a dense, occasionally impenetrable cinematic poem in Amos Gitai’s film “Carmel.”"
13,JEANNETTE CATSOULIS,1,2017-11-02 04:18:10,Daybreakers,Futuristic World Where Vampires Rule,Read the New York Times Review of Daybreakers,article,http://www.nytimes.com/2010/01/08/movies/08daybreakers.html,R,,,,,,2010-01-08,2010-01-07,Among the many pleasures of “Daybreakers” is its reminder that vampire movies can function as more than just metaphors for teenage celibacy.
14,MANOHLA DARGIS,0,2017-11-02 04:18:10,Youth in Revolt,He’s in Love; Excuse His French,Read the New York Times Review of Youth in Revolt,article,http://www.nytimes.com/2010/01/08/movies/08youth.html,R,,,,,,2010-01-08,2010-01-07,“Youth in Revolt” is a sweet and slight and often charming coming-of-age tale.
15,A. O. SCOTT,0,2017-11-02 04:18:10,Leap Year,"Ireland in February, With Romance in the Air, Manure on the Ground",Read the New York Times Review of Leap Year,article,http://www.nytimes.com/2010/01/08/movies/08leap.html,PG,,,,,,2010-01-08,2010-01-07,"“Leap Year” is so witless, charmless and unimaginative that it can be described as a movie only in a strictly technical sense."
16,STEPHEN HOLDEN,0,2017-11-02 04:18:10,A Year Ago in Winter,Death of a Golden Boy Ripples Through a Family,Read the New York Times Review of A Year Ago in Winter,article,http://www.nytimes.com/2010/01/06/movies/06winter.html,,,,,,,2010-01-06,2010-01-05,“A Year Ago in Winter” doesn’t succumb to the usual weepie-of-the-week clichés.
17,JEANNETTE CATSOULIS,0,2017-11-02 04:18:10,Garbage Dreams,"The Struggles of Cairo’s ‘Garbage People,’ but No Whining",Read the New York Times Review of Garbage Dreams,article,http://www.nytimes.com/2010/01/06/movies/06garbage.html,,,,,,,2009-07-31,2010-01-05,“Garbage Dreams” digs deep into the politics of a life that few would choose but many depend on.
18,ANDY WEBSTER,1,2017-11-02 04:18:10,A Film with Me in It,"Struggling Actor Tweaks Script, Buddy and Bodies",Read the New York Times Review of A Film with Me in It,article,http://www.nytimes.com/2010/01/01/movies/01film.html,,,,,,,2010-01-01,2009-12-31,"“A Film With Me in It” is a slender, supple comedy graced with appealing performers and laced with agreeable poison."
19,A. O. SCOTT,0,2017-11-02 04:18:11,The White Ribbon,Wholesome Hamlet’s Horror Sends a Jolt to the System,Read the New York Times Review of The White Ribbon,article,http://www.nytimes.com/2009/12/30/movies/30white.html,R,,,,,,2010-03-05,2009-12-29,"“The White Ribbon,” by Michael Haneke, is an unnerving but unsatisfying chronicle of a German village filled with hidden cruelty, set on the eve of World War I."
0,A. O. SCOTT,0,2017-11-02 04:18:10,Old Partner,"Ox Is Part of the Family, and Then Some",Read the New York Times Review of Old Partner,article,http://www.nytimes.com/2009/12/30/movies/30old.html,,,,,,,2009-12-30,2009-12-29,The inscrutable dignity of animals may seem strange when encountered in a documentary like “Old Partner.”
1,A. O. SCOTT,0,2017-11-02 04:18:10,Sherlock Holmes,The Brawling Supersleuth of 221B Baker Street Socks It to ’Em,Read the New York Times Review of Sherlock Holmes,article,http://www.nytimes.com/2009/12/25/movies/25sherlock.html,PG-13,,,,,,2009-12-25,2009-12-24,"There are worse things than loutish, laddish cool, and as a series of poses and stunts, “Sherlock Holmes” is intermittently diverting."
2,MANOHLA DARGIS,0,2017-11-02 04:18:10,The Imaginarium of Doctor Parnassus,"A Traveling Show Comes to Town, but Its Guests Are the Ones on a Journey",Read the New York Times Review of The Imaginarium of Doctor Parnassus,article,http://www.nytimes.com/2009/12/25/movies/25imaginarium.html,PG-13,,,,,,2010-01-08,2009-12-24,"Terry Gilliam’s latest is a full three-ring affair, complete with puffs of smoke, glitter and grunge, some hocus-pocus, mumbo jumbo and even a dwarf."
3,MANOHLA DARGIS,0,2017-11-02 04:18:10,It's Complicated,A September-September Romance,Read the New York Times Review of It's Complicated,article,http://www.nytimes.com/2009/12/25/movies/25complicated.html,R,,,,,,2009-12-25,2009-12-24,"In the pleasurable, daffy if at times daft “It’s Complicated,” Meryl Streep takes a character and makes you love her."
4,NEIL GENZLINGER,0,2017-11-02 04:18:10,Alvin and the Chipmunks: The Squeakquel,"Chipmunks Act Like Chipmunks, Not Chipmonks",Read the New York Times Review of Alvin and the Chipmunks: The Squeakquel,article,http://www.nytimes.com/2009/12/23/movies/23alvin.html,PG,,,,,,2009-12-23,2009-12-22,"The latest adventures of Alvin, Simon and Theodore find them pursuing the rock-star careers they began in the 2007 “Alvin” film."
5,MANOHLA DARGIS,1,2017-11-02 04:18:10,Avatar,"A New Eden, Both Cosmic and Cinematic",Read the New York Times Review of Avatar,article,http://www.nytimes.com/2009/12/18/movies/18avatar.html,PG-13,,,,,,2009-12-18,2009-12-17,With “Avatar” James Cameron has turned one man’s dream of the movies into a trippy joy ride about the end of life as we know it.
6,MANOHLA DARGIS,0,2017-11-02 04:18:10,The Young Victoria,Poor Little Royal Girl: A Melancholy Monarch,Read the New York Times Review of The Young Victoria,article,http://www.nytimes.com/2009/12/18/movies/18young.html,PG,,,,,,2010-01-08,2009-12-17,“The Young Victoria” is a frivolously entertaining film with Emily Blunt as the young monarch.
7,A. O. SCOTT,0,2017-11-02 04:18:10,Nine,"There Will Be Lingerie (Singing, Too)",Read the New York Times Review of Nine,article,http://www.nytimes.com/2009/12/18/movies/18nine.html,PG-13,,,,,,2009-12-25,2009-12-17,An Italian playboy juggles many leading ladies in “Nine.”
8,STEPHEN HOLDEN,0,2017-11-02 04:18:10,Did You Hear About the Morgans?,"Why, Oh Why, Oh Why, Oh, Send Us to Wy-o-ming?",Read the New York Times Review of Did You Hear About the Morgans?,article,http://www.nytimes.com/2009/12/18/movies/18morgans.html,PG-13,,,,,,2009-12-18,2009-12-17,There are barely enough titter-worthy one-liners in “Did You Hear About the Morgans?” to prevent it from sinking under the weight of its clichés.
9,A. O. SCOTT,1,2017-11-02 04:18:10,Crazy Heart,A Country Crooner Whose Flight Is Now Free Fall,Read the New York Times Review of Crazy Heart,article,http://www.nytimes.com/2009/12/16/movies/16crazy.html,R,,,,,,2010-02-05,2009-12-15,"“Crazy Heart,” written and directed by Scott Cooper, is a small movie perfectly scaled to the big performance at its center."
10,STEPHEN HOLDEN,0,2017-11-02 04:18:10,Ricky,Imagine Childproofing for a Winged Baby,Read the New York Times Review of Ricky,article,http://www.nytimes.com/2009/12/16/movies/16ricky.html,,,,,,,2009-12-16,2009-12-15,"As François Ozon’s “Ricky” rubs its genres together, it creates a sense of discomfort."
11,RACHEL SALTZ,1,2017-11-02 04:18:10,Rocket Singh - Salesman of the Year,High Road in Business? He Takes It,Read the New York Times Review of Rocket Singh - Salesman of the Year,article,http://www.nytimes.com/2009/12/15/movies/15rocket.html,,,,,,,2009-12-11,2009-12-14,Ranbir Kapoor turns in a skillfully understated performance in “Rocket Singh: Salesman of the Year.”
12,A. O. SCOTT,1,2017-11-02 04:18:10,Invictus,"Final Score: Future 1, Past 0",Read the New York Times Review of Invictus,article,http://www.nytimes.com/2009/12/11/movies/11invictus.html,PG-13,,,,,,2009-12-11,2009-12-10,"Clint Eastwood’s “Invictus,” a rousing true story of athletic triumph, is also that director’s latest exploration of revenge, the defining theme of his career."
13,MANOHLA DARGIS,0,2017-11-02 04:18:10,A Single Man,A Love That Speaks Its Name: A College Professor’s Fateful Day,Read the New York Times Review of A Single Man,article,http://www.nytimes.com/2009/12/11/movies/11singleman.html,R,,,,,,2010-02-05,2009-12-10,"Colin Firth wears the face of grief in Tom Ford’s directorial debut, “A Single Man.”"
14,A. O. SCOTT,0,2017-11-02 04:18:10,The Lovely Bones,"Gazing Down, From a Suburb of Heaven, at an Earthly Purgatory",Read the New York Times Review of The Lovely Bones,article,http://www.nytimes.com/2009/12/11/movies/11lovelybones.html,PG-13,,,,,,2010-01-15,2009-12-10,A victim obsessed with the lives that go on without her is at the center of “The Lovely Bones.”
