,title,sentiment_polarity
156,"I, Robot",0.130950599469118
157,The Princess and the Frog,0.09396608278552719
158,The Martian,0.10020531937198604
159,Minority Report,0.07475835999749042
160,Planet of the Apes,0.07917879583233911
161,Public Enemies,0.12464497109401575
162,Little Fockers,0.1313969527204821
163,The Other Guys,0.0919680130475585
164,Django Unchained,0.07814446702201804
165,The Hunchback of Notre Dame,0.12146682682396966
166,The Emperor's New Groove,-0.003220279720279726
167,Where the Wild Things Are,0.10251333487940625
168,Epic,0.09482782369146005
169,End of Days,0.047735690235690235
170,The Wolf of Wall Street,0.03684687284311345
171,Starship Troopers,0.09242325135182279
172,Catwoman,0.11856977513227512
173,Hercules,-0.026449275362318864
174,Hercules,-0.026449275362318864
175,Treasure Planet,0.05167881646655231
176,Land of the Lost,0.12203548085901028
177,In the Heart of the Sea,0.12982978279030907
178,The Peanuts Movie,0.1819319131161236
179,The Spanish Prisoner,0.18525534851621808
180,The Mummy Returns,0.02474459642012835
181,Gangs of New York,0.11756112477266324
182,Surf's Up,0.16008522727272728
183,The Stepford Wives,0.11804450757575757
184,The Campaign,0.07946847753185785
185,Sex and the City 2,0.1500264764996908
186,The Road to El Dorado,0.0662673004079254
187,Ice Age: Continental Drift,0.1838024037366143
188,Finding Nemo,0.07441951987406532
189,Lara Croft: Tomb Raider,0.11772220395638115
190,Jurassic Park III,0.12477731459212939
191,Rise of the Planet of the Apes,0.18181493181493177
192,The Spiderwick Chronicles,0.10840630329266693
193,A Good Day to Die Hard,0.09558972773258485
194,The Alamo,0.05931786216596345
195,Men in Black,0.12562657446132022
196,Toy Story 2,0.18498749398749398
197,Unstoppable,0.08497357620734244
198,Rush Hour 2,0.12141873278236916
199,What Lies Beneath,0.07981873389768128
200,Ice Age: Dawn of the Dinosaurs,0.07228721033868092
201,The Secret Life of Walter Mitty,0.09982453102453098
202,Charlie's Angels,0.1023611525766698
203,Mulan,0.11660841035841034
204,Tropic Thunder,-0.021741021324354654
205,Ben-Hur,0.062253579753579764
206,Alvin and the Chipmunks: The Road Chip,0.09099025974025973
207,Pixels,0.1250919913419913
208,A.I. Artificial Intelligence,0.12808407948159498
209,The Haunted Mansion,0.13279645191409897
210,Contact,0.11332462087179074
211,Percy Jackson: Sea of Monsters,0.28666666666666657
212,Lara Croft Tomb Raider: The Cradle of Life,0.155395794681509
213,The Saint,0.06935483870967743
214,Mission to Mars,0.07031261866788183
215,Rio,0.12938311688311688
216,The Devil's Own,0.1603203463203463
217,Seabiscuit,0.13384325485389315
218,Twister,0.12632569811141242
219,Cast Away,0.07285414794848757
220,Ocean's Eleven,0.17748692279942277
221,The Three Musketeers,-0.048959938366718025
222,The Three Musketeers,-0.048959938366718025
223,Hotel Transylvania,0.052850877192982454
